,"alpha1","alpha2","alpha3","alpha4","alpha5","alpha6","alpha7","alpha8"
Item1,0,0,0,1,0,1,1,0
Item2,0,0,0,1,0,0,1,0
Item3,0,0,0,1,0,0,1,0
Item4,0,1,1,0,1,0,1,0
Item5,0,1,0,1,0,0,1,1
Item6,0,0,0,0,0,0,1,0
Item7,1,1,0,0,0,0,1,0
Item8,0,0,0,0,0,0,1,0
Item9,0,1,0,0,0,0,0,0
Item10,0,1,0,0,1,0,1,1
Item11,0,1,0,0,1,0,1,0
Item12,0,0,0,0,0,0,1,1
Item13,0,1,0,1,1,0,1,0
Item14,0,1,0,0,0,0,1,0
Item15,1,0,0,0,0,0,1,0
Item16,0,1,0,0,0,0,1,0
Item17,0,1,0,0,1,0,1,0
Item18,0,1,0,0,1,1,1,0
Item19,1,1,1,0,1,0,1,0
Item20,0,1,1,0,1,0,1,0